https://stko-directrelief.geog.ucsb.edu/lod/expert/Helen_Wearing,https://stko-directrelief.geog.ucsb.edu/lod/expert/Mortiz_Kraemer,https://stko-directrelief.geog.ucsb.edu/lod/expert/Rene_Neihus,https://stko-directrelief.geog.ucsb.edu/lod/expert/Pamela_Martinez,https://stko-directrelief.geog.ucsb.edu/lod/expert/Dennis_Chao,https://stko-directrelief.geog.ucsb.edu/lod/expert/Alex_Perkins,https://stko-directrelief.geog.ucsb.edu/lod/expert/Christine_Tedijanto,https://stko-directrelief.geog.ucsb.edu/lod/expert/Sarah_Cobey,https://stko-directrelief.geog.ucsb.edu/lod/expert/Christophe_Fraser,https://stko-directrelief.geog.ucsb.edu/lod/expert/Ryan_Layer,https://stko-directrelief.geog.ucsb.edu/lod/expert/Kenth_Engo-Monsen,https://stko-directrelief.geog.ucsb.edu/lod/expert/Balaram_Ravindran,https://stko-directrelief.geog.ucsb.edu/lod/expert/Rolando_Acosta,https://stko-directrelief.geog.ucsb.edu/lod/expert/Daniel_Weinberger,https://stko-directrelief.geog.ucsb.edu/lod/expert/Bryan_Grenfell,https://stko-directrelief.geog.ucsb.edu/lod/expert/Nishant_Kishore,https://stko-directrelief.geog.ucsb.edu/lod/expert/Mathew_Kiang,https://stko-directrelief.geog.ucsb.edu/lod/expert/Jennifer_Chan,https://stko-directrelief.geog.ucsb.edu/lod/expert/Daniel_Larremore,https://stko-directrelief.geog.ucsb.edu/lod/expert/Brooke_Nichols,https://stko-directrelief.geog.ucsb.edu/lod/expert/Ayesha_Mahmud,https://stko-directrelief.geog.ucsb.edu/lod/expert/Bailey_Fosdick,https://stko-directrelief.geog.ucsb.edu/lod/expert/Stephen_Riley,https://stko-directrelief.geog.ucsb.edu/lod/expert/Lerato_Magosi,https://stko-directrelief.geog.ucsb.edu/lod/expert/Nick_Geard,https://stko-directrelief.geog.ucsb.edu/lod/expert/Hsiao-Han_Chang,https://stko-directrelief.geog.ucsb.edu/lod/expert/Hao_Hu,https://stko-directrelief.geog.ucsb.edu/lod/expert/Urs_Gasser,https://stko-directrelief.geog.ucsb.edu/lod/expert/Srinath_Srinivasa,https://stko-directrelief.geog.ucsb.edu/lod/expert/Rebecca_Kahn,https://stko-directrelief.geog.ucsb.edu/lod/expert/Mauricio_Santillana,https://stko-directrelief.geog.ucsb.edu/lod/expert/Mike_Famulare,https://stko-directrelief.geog.ucsb.edu/lod/expert/Sam_Brand,https://stko-directrelief.geog.ucsb.edu/lod/expert/Amy_Wesolowski,https://stko-directrelief.geog.ucsb.edu/lod/expert/Andy_Tatem,https://stko-directrelief.geog.ucsb.edu/lod/expert/Jessica_Metcalf,https://stko-directrelief.geog.ucsb.edu/lod/expert/Alejandro_Feged,https://stko-directrelief.geog.ucsb.edu/lod/expert/Roy_Burstein,https://stko-directrelief.geog.ucsb.edu/lod/expert/Sheetal_Silal,https://stko-directrelief.geog.ucsb.edu/lod/expert/Alexandra_Wood,https://stko-directrelief.geog.ucsb.edu/lod/expert/Daniel_Klein
1.0000000000000009,0,0.09803388721951198,0.11056655645030111,0.14126415630288378,0,0.14484863127712194,0.07242385136108218,0.2844827760230389,0,0,0,0.184739176772083,0.1477000605512103,0.08866598850303928,0,0,0,0,0,0,0,0.23783648658171813,0,0.09721312234352446,0.08085221470192579,0.09274895446305116,0,0,0.11606364983640309,0.10853909292576122,0.08449547819705737,0.24411377869036208,0.10970858911753334,0,0,0,0,0,0,0.11050948443779075
0,1,0,-0.0020087710986590253,0.016939391468466222,0.07990091381594924,0,0.08611276467939101,0.034247018865607846,0.08302165831855059,0.07531590017183437,0,0,0.09769360921377204,0,0,-0.0011576773239668657,0.10961518493556453,0.030271588366747364,0,0.016967093779732823,0,0.14039310951293313,0.0010796187020575968,0,0,0,0,0.0004666181270412456,0,0.01058480292652094,0.1840425193469726,0,0,0,-0.0032363389707924196,0.08436390989508268,0,0,0,0
0.09803388721951198,0,0.9999999999999993,0,0.14036854433958523,0,0.18772340110004707,0,0.2988379602336402,0.12019771015842466,0,0.14298274997804095,0,0,0,0.35578723341584056,0.1394973514689556,0,0,0,0,0.08463854490038528,0.16938546435736404,0.1263020785455738,0,0.11038164641279037,0.23454079272871806,0,0,0,0.09145225849473079,0.12048362517177624,0.1396479277097772,0.2540481415031943,0.11071108993127755,0,0,0.09337396674362552,0,0,0
0.11056655645030111,0,0,0.9999999999999999,0,0.033039604580803676,0.022687868739619418,0.13928934056352554,0.052224803239608916,0.047548548531883235,0,0,0,0.06204047788140643,0.14288559615989058,0,0,0,0,0,0,0,0.07567170975841331,0,0.04400051227586896,0.06569169529141693,0.1327638361361038,0,0,0,0.09158564711109451,0.03385781978180125,0.12727017738039956,0,0.15466216187186305,0.0306634629823537,0.20345055732350578,0.06741352508182061,0,0,0
0.14126415630288378,0.016939391468466222,0.14036854433958523,0,1,0,0.06778338380672452,0,0.19756487919399549,0,0,0.07812322662373807,0.12315871100104368,0.01304771240408793,0,0.022464494860318672,0,0.0612027687391076,0,0.044803474876032694,0,0,0.0841080813157757,0,0.19785872202960722,0,0.3410468629495064,0,0,0.10244129662479894,0,0.022499760399664597,0.16121977775351803,0,0,0,0,0.045145846047426566,0,0,0.1918219839457876
-0.0055932494523416865,0.07990091381594924,0,0.033039604580803676,0,0.9999999999999998,0,0.002711180437366889,0,0,0.08095711641157653,0.014455346997791248,0.0061412661231737935,0.1005924577201512,0,0,0.0004448770893097008,0.06677413783069787,0,0.014048161046068795,0.04482040321683996,0,0,0,-0.005566068037154577,0,0,0,0,0.008874900170113135,0,0,0.0032176078880649253,0.053849215500595474,0,0,0.05958123844192619,0,0.09892018644960862,0,0.020586207959152218
0.14484863127712194,0,0.18772340110004707,0,0.06778338380672452,0,1.0000000000000007,0.09505844083188479,0.19362940311076926,0.06746145280722661,0,0.06094806120662975,0,0.15640519019069654,0,0.07520591618550743,0,0,0,0,0,0.15213663299892272,0.11668741862395411,0.06437264309777006,0,0.10750247071978078,0.11832267371636672,0,0,0.2944192748496296,0,0,0,0.09479392536381097,0,0.052640751694713335,0,0,0.054984945036279605,0,0.08201168397116126
0.07242385136108218,0.08611276467939101,0,0.13928934056352554,0,0,0.09505844083188479,0.9999999999999988,0.19256432270835694,0.19740429404963108,0,0.19629975122239418,0.058435712368356825,0.09349274048187632,0.05003675280369015,0,0,0,0.09711112840497019,0,0,0.11659550850807031,0.0832369009267758,0.1416522552082299,0,0.10660978771045443,0.09310057097016142,0,0,0,0,0.17865921184076705,0.07444739257358997,0,0,0.061153583561240184,0,0,0,0,0
0.2844827760230389,0.034247018865607846,0.2988379602336402,0.052224803239608916,0.19756487919399549,0,0.19362940311076926,0.19256432270835694,0.9999999999999996,0,0,0,0,0.013976261252787024,0.12375055164129449,0.031152292173165685,0.04896945553187106,0,0,0.011718968347058323,0,0,0.3337228685683911,0,0,0.08149678387871936,0.1365567528068837,0,0,0,0.10962117734435486,0.09834886328363741,0.023915150835638884,0,0,0.04545018914220751,0,0,0,0,0
0,0.08302165831855059,0.12019771015842466,0.047548548531883235,0,0,0.06746145280722661,0.19740429404963108,0,0.9999999999999996,0,0.24099208744353473,0,0,0,0,0.05196014624980157,0,0.2104492139430289,0,0.04161081621789801,0.2112643207324894,0,0.24467782101125063,0,0.1404320784931257,0.0726034679319633,0,0.25748669878116553,0,0,0.20895886579187908,0,0.05412666530711258,0,0,0.1118716951088267,0.15103127011387782,0,0.10256032212891622,0
